scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:41:14 UTC,2018-11-11 16:30:00 UTC,Manchester City,Manchester Utd,Premier League 2018/2019,3,1,"1:0, 2:1",Etihad Stadium,Manchester,England,"[{'1': '1.36', 'X': '5.25', '2': '8.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.10', '2': '9.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.34', 'X': '5.11', '2': '8.52', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.42', '2': '9.53', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:15 UTC,2018-12-22 12:30:00 UTC,Arsenal,Burnley,Premier League 2018/2019,3,1,"1:0, 2:1",Emirates Stadium,London,England,"[{'1': '1.21', 'X': '6.95', '2': '14.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.75', '2': '16.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.65', '2': '12.92', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.20', 'X': '7.15', '2': '15.42', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:15 UTC,2019-03-30 15:00:00 UTC,Burnley,Wolves,Premier League 2018/2019,2,0,"1:0, 1:0",Turf Moor,Burnley,England,"[{'1': '2.80', 'X': '3.00', '2': '2.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.85', 'X': '3.15', '2': '2.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.90', 'X': '3.05', '2': '2.58', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.89', 'X': '3.16', '2': '2.78', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:20 UTC,2019-05-12 14:00:00 UTC,Manchester Utd,Cardiff,Premier League 2018/2019,0,2,"0:1, 0:1",Old Trafford,Manchester,England,"[{'1': '1.27', 'X': '5.75', '2': '8.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.30', 'X': '6.10', '2': '9.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.31', 'X': '5.72', '2': '8.31', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.30', 'X': '6.06', '2': '9.71', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:20 UTC,2018-11-25 16:00:00 UTC,Wolves,Huddersfield,Premier League 2018/2019,0,2,"0:1, 0:1",Molineux Stadium,Wolverhampton,England,"[{'1': '1.59', 'X': '3.65', '2': '7.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.58', 'X': '3.70', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.59', 'X': '3.60', '2': '6.59', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.61', 'X': '3.71', '2': '7.73', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:20 UTC,2019-05-04 18:45:00 UTC,Newcastle,Liverpool,Premier League 2018/2019,2,3,"1:2, 1:1",St. James' Park,Newcastle,England,"[{'1': '8.25', 'X': '5.20', '2': '1.31', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '9.00', 'X': '5.40', '2': '1.34', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '8.66', 'X': '5.08', '2': '1.34', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '9.80', 'X': '5.56', '2': '1.34', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:24 UTC,2018-08-18 14:00:00 UTC,West Ham,Bournemouth,Premier League 2018/2019,1,2,"1:0, 0:2",London Stadium,London,England,"[{'1': '2.05', 'X': '3.50', '2': '3.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.06', 'X': '3.55', '2': '3.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.03', 'X': '3.53', '2': '3.52', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.60', '2': '3.74', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:24 UTC,2018-12-16 16:00:00 UTC,Liverpool,Manchester Utd,Premier League 2018/2019,3,1,"1:1, 2:0",Anfield,Liverpool,England,"[{'1': '1.53', 'X': '4.15', '2': '6.65', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.52', 'X': '4.20', '2': '7.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.51', 'X': '4.09', '2': '6.60', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.55', 'X': '4.26', '2': '7.09', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:25 UTC,2018-08-25 16:30:00 UTC,Liverpool,Brighton,Premier League 2018/2019,1,0,"1:0, 0:0",Anfield,Liverpool,England,"[{'1': '1.12', 'X': '9.25', '2': '21.75', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.14', 'X': '8.50', '2': '20.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.14', 'X': '7.94', '2': '18.53', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.15', 'X': '9.48', '2': '22.00', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:30 UTC,2019-04-26 19:00:00 UTC,Liverpool,Huddersfield,Premier League 2018/2019,5,0,"3:0, 2:0",Anfield,Liverpool,England,"[{'1': '1.05', 'X': '11.75', '2': '26.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.06', 'X': '14.00', '2': '41.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.06', 'X': '12.22', '2': '27.01', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.08', 'X': '14.10', '2': '34.97', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:31 UTC,2018-12-22 15:00:00 UTC,Manchester City,Crystal Palace,Premier League 2018/2019,2,3,"1:2, 1:1",Etihad Stadium,Manchester,England,"[{'1': '1.16', 'X': '7.75', '2': '19.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.15', 'X': '8.50', '2': '20.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.24', '2': '15.30', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.17', 'X': '7.90', '2': '19.72', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:41:30 UTC,2018-08-11 14:00:00 UTC,Bournemouth,Cardiff,Premier League 2018/2019,2,0,"1:0, 1:0",Vitality Stadium,Bournemouth,England,"[{'1': '1.87', 'X': '3.65', '2': '4.35', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.60', '2': '4.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.82', 'X': '3.55', '2': '4.34', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.88', 'X': '3.61', '2': '4.70', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
